1   ,1000  ,2   ,Anas
1   ,1000  ,2   ,Anas
1   ,1000  ,2   ,Anas
1   ,1000  ,2   ,Anas
1   ,1000  ,2   ,Anas
1   ,1000  ,2   ,Anas
1   ,1000  ,2   ,Anas
1   ,1000  ,2   ,Anas
1   ,1000  ,2   ,Anas
1   ,1000  ,2   ,Anas
1   ,1000  ,2   ,Anas
1   ,1000  ,2   ,Anas
1   ,1000  ,2   ,Anas
1   ,1000  ,2   ,Anas
1   ,1000  ,2   ,Anas
1   ,1000  ,2   ,Anas
1   ,1000  ,2   ,Anas
1   ,1000  ,2   ,Anas
1   ,1000  ,2   ,Anas
1   ,1000  ,2   ,Anas
1   ,1000  ,2   ,Anas
1   ,1000  ,2   ,Anas
1   ,1000  ,2   ,Anas
1   ,1000  ,2   ,Anas
1   ,1000  ,2   ,Anas
1   ,1000  ,2   ,Anas
1   ,1000  ,2   ,Anas
1   ,1000  ,2   ,Anas
1   ,1000  ,2   ,Anas
1   ,1000  ,2   ,Anas
1   ,1000  ,2   ,Anas
